package name,author,assignee,created at,closed at,link,version,is stable
azure-mgmt-web,naveedaz,Wzb123456789,2023-03-10,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3916,7.1.0,True
azure-mgmt-redisenterprise,revanthballa1188,Wzb123456789,2023-03-16,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3939,2.1.0b2,
azure-mgmt-apimanagement,Anand0046,Wzb123456789,2023-03-16,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3940,4.0.0,True
azure-mgmt-appplatform,Descatles,Wzb123456789,2023-03-17,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3948,8.0.0,True
azure-mgmt-elastic,utkarshjain1508,Wzb123456789,2023-03-21,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3953,1.1.0b2,
azure-mgmt-workloads,gargankit-microsoft,Wzb123456789,2023-03-02,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3857,1.0.0,True
azure-mgmt-rdbms,ambrahma,Wzb123456789,2023-03-27,2023-04-18,https://github.com/Azure/sdk-release-request/issues/4000,10.2.0b7,
azure-mgmt-rdbms,xiaoxuqi-ms,Wzb123456789,2023-04-17,2023-04-18,https://github.com/Azure/sdk-release-request/issues/4054,10.2.0b7,
azure-mgmt-qumulo,nikhgup,Wzb123456789,2023-04-06,2023-04-14,https://github.com/Azure/sdk-release-request/issues/4021,1.0.0b1,
azure-mgmt-eventhub,schaudhari6254888,Wzb123456789,2023-04-04,2023-04-14,https://github.com/Azure/sdk-release-request/issues/4012,11.0.0,True
azure-mgmt-compute,msyyc,Wzb123456789,2023-03-31,2023-04-13,https://github.com/Azure/sdk-release-request/issues/4005,29.2.0b2,
azure-mgmt-sql,paramsiva1,Wzb123456789,2023-03-28,2023-04-11,https://github.com/Azure/sdk-release-request/issues/4002,4.0.0b10,
azure-mgmt-communication,kagbakpem,Wzb123456789,2023-03-26,2023-04-04,https://github.com/Azure/sdk-release-request/issues/3995,2.0.0,True
azure-mgmt-keyvault,msyyc,Wzb123456789,2023-03-30,2023-04-04,https://github.com/Azure/sdk-release-request/issues/4003,10.2.1,True
azure-mgmt-network,msyyc,Wzb123456789,2023-03-22,2023-03-30,https://github.com/Azure/sdk-release-request/issues/3959,23.0.0,True
azure-mgmt-appconfiguration,albertofori,Wzb123456789,2023-03-22,2023-03-29,https://github.com/Azure/sdk-release-request/issues/3970,3.0.0,True
azure-mgmt-newrelicobservability,saurgupta-msft,Wzb123456789,2023-02-16,2023-03-28,https://github.com/Azure/sdk-release-request/issues/3822,1.0.0b1,
azure-mgmt-resource,msyyc,Wzb123456789,2023-03-27,2023-03-28,https://github.com/Azure/sdk-release-request/issues/3997,23.0.0,True
azure-mgmt-containerservice,FumingZhang,Wzb123456789,2023-03-22,2023-03-27,https://github.com/Azure/sdk-release-request/issues/3960,22.0.0,True
azure-mgmt-sql,vidit-msft,Wzb123456789,2023-03-23,2023-03-27,https://github.com/Azure/sdk-release-request/issues/3990,4.0.0b9,
azure-mgmt-communication,kagbakpem,Wzb123456789,2023-03-15,2023-03-25,https://github.com/Azure/sdk-release-request/issues/3932,2.0.0b3,
azure-mgmt-graphservices,amatukmolina,Wzb123456789,2023-03-03,2023-03-23,https://github.com/Azure/sdk-release-request/issues/3865,1.0.0b1,
azure-mgmt-security,roni93,Wzb123456789,2023-03-10,2023-03-21,https://github.com/Azure/sdk-release-request/issues/3920,4.0.0,True
azure-mgmt-webpubsub,juniwang,Wzb123456789,2023-03-07,2023-03-21,https://github.com/Azure/sdk-release-request/issues/3900,1.1.0,True
azure-mgmt-network,htippanaboya,Wzb123456789,2023-03-01,2023-03-21,https://github.com/Azure/sdk-release-request/issues/3855,22.3.0,True
azure-mgmt-monitor,herreraj-ms,Wzb123456789,2023-03-08,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3908,6.0.0,True
azure-mgmt-recoveryservicesbackup,profDisarray,Wzb123456789,2023-03-09,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3911,5.2.0,True
azure-mgmt-appcontainers,Juliehzl,Wzb123456789,2023-02-28,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3843,2.0.0,True
azure-mgmt-desktopvirtualization,alec-baird,Wzb123456789,2023-03-03,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3870,1.0.0,True
azure-mgmt-orbital,stuti-1807,Wzb123456789,2023-03-03,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3879,2.0.0,True
azure-mgmt-reservations,chchen3,Wzb123456789,2023-03-03,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3883,2.3.0,True
azure-mgmt-signalr,juniwang,Wzb123456789,2023-03-07,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3895,1.2.0,True
azure-mgmt-cosmosdb,rsharm7,Wzb123456789,2023-03-07,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3905,9.1.0b1,
azure-mgmt-cosmosdb,ashwinisingh01,Wzb123456789,2023-03-16,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3943,9.1.0b1,
azure-mgmt-digitaltwins,sjiherzig,Wzb123456789,2023-02-23,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3837,6.4.0,True
azure-mgmt-datafactory,Frey-Wang,Wzb123456789,2023-02-24,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3839,3.1.0,True
azure-mgmt-hybridcontainerservice,HariPrasadV,Wzb123456789,2023-03-01,2023-03-20,https://github.com/Azure/sdk-release-request/issues/3848,1.0.0b1,
azure-mgmt-keyvault,evelyn-ys,Wzb123456789,2023-03-13,2023-03-17,https://github.com/Azure/sdk-release-request/issues/3925,10.2.0,True
azure-mgmt-defendereasm,nathanfalke,Wzb123456789,2023-01-25,2023-03-15,https://github.com/Azure/sdk-release-request/issues/3703,1.0.0b1,
azure-mgmt-nginx,limingu,Wzb123456789,2023-03-14,2023-03-15,https://github.com/Azure/sdk-release-request/issues/3927,2.1.0,True
azure-mgmt-security,Wzb123456789,Wzb123456789,2023-03-06,2023-03-07,https://github.com/Azure/sdk-release-request/issues/3884,4.0.0b2,
azure-mgmt-voiceservices,sebastianrex,Wzb123456789,2023-02-15,2023-02-23,https://github.com/Azure/sdk-release-request/issues/3804,1.0.0b1,
azure-mgmt-resource,Wzb123456789,Wzb123456789,2023-02-22,2023-02-22,https://github.com/Azure/sdk-release-request/issues/3833,23.0.0b1,
azure-mgmt-datafactory,Frey-Wang,Wzb123456789,2023-02-08,2023-02-21,https://github.com/Azure/sdk-release-request/issues/3748,3.0.0,True
azure-mgmt-storage,Wzb123456789,Wzb123456789,2023-02-20,2023-02-20,https://github.com/Azure/sdk-release-request/issues/3828,21.1.0b1,
azure-mgmt-containerservice,FumingZhang,Wzb123456789,2023-02-13,2023-02-20,https://github.com/Azure/sdk-release-request/issues/3771,21.2.0,True
azure-mgmt-compute,Wzb123456789,Wzb123456789,2023-02-16,2023-02-20,https://github.com/Azure/sdk-release-request/issues/3813,29.2.0b1,
azure-mgmt-storagemover,yifanz0,Wzb123456789,2023-02-01,2023-02-20,https://github.com/Azure/sdk-release-request/issues/3725,1.0.0b1,
azure-mgmt-containerregistry,cegraybl,Wzb123456789,2023-02-02,2023-02-20,https://github.com/Azure/sdk-release-request/issues/3745,10.1.0,True
azure-mgmt-dataprotection,mayankagg9722,Wzb123456789,2023-01-24,2023-02-20,https://github.com/Azure/sdk-release-request/issues/3693,1.0.0,True
azure-mgmt-hybridcompute,msyyc,Wzb123456789,2023-02-06,2023-02-20,https://github.com/Azure/sdk-release-request/issues/3746,8.0.0,True
azure-mgmt-sql,viparek,Wzb123456789,2023-02-16,2023-02-20,https://github.com/Azure/sdk-release-request/issues/3823,4.0.0b8,
azure-mgmt-resourcehealth,Wzb123456789,Wzb123456789,2023-02-16,2023-02-16,https://github.com/Azure/sdk-release-request/issues/3808,1.0.0b3,
azure-mgmt-security,Wzb123456789,Wzb123456789,2023-02-16,2023-02-16,https://github.com/Azure/sdk-release-request/issues/3809,4.0.0b1,
azure-mgmt-resource,Wzb123456789,Wzb123456789,2023-02-16,2023-02-16,https://github.com/Azure/sdk-release-request/issues/3810,22.1.0b1,
azure-mgmt-digitaltwins,Wzb123456789,Wzb123456789,2023-02-16,2023-02-16,https://github.com/Azure/sdk-release-request/issues/3811,6.4.0b1,
azure-mgmt-redhatopenshift,Wzb123456789,Wzb123456789,2023-02-16,2023-02-16,https://github.com/Azure/sdk-release-request/issues/3812,1.3.0b1,
azure-mgmt-msi,Wzb123456789,Wzb123456789,2023-02-16,2023-02-16,https://github.com/Azure/sdk-release-request/issues/3814,7.1.0b1,
azure-mgmt-reservations,chchen3,Wzb123456789,2023-01-19,2023-02-16,https://github.com/Azure/sdk-release-request/issues/3676,2.2.0,True
