foler/package name,pypi link,latest track1 version,latest track1 release date,track1 GA version,latest track2 version,latest track2 release date,track2 GA version,cli dependency,readme config,bot advice,readme link,multi api,whl size(MB),test coverage,passed,failed,skipped
informaticadatamanagement/azure-mgmt-informaticadatamanagement,https://pypi.org/pypi/azure-mgmt-informaticadatamanagement,NA,NA,NA,1.0.0,2024/07/15,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/informatica/resource-manager,,0.068,-, -, -, -
datalake/azure-mgmt-datalake-analytics,https://pypi.org/pypi/azure-mgmt-datalake-analytics,0.6.0,2018/06/26,NA,1.0.0b2,2022/12/16,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/datalake-analytics/resource-manager,,0.097,-, -, -, -
compute/azure-mgmt-compute,https://pypi.org/pypi/azure-mgmt-compute,14.0.0,2020/10/16,1.0.0,33.0.0,2024/08/23,17.0.0,track2_33.0.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/compute/resource-manager,True,5.658,-, -, -, -
batch/azure-mgmt-batch,https://pypi.org/pypi/azure-mgmt-batch,10.0.1,2021/02/2,1.0.0,18.0.0,2024/09/25,14.0.0,track2_17.3.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/batch/resource-manager,,0.165,-, -, -, -
networkfunction/azure-mgmt-networkfunction,https://pypi.org/pypi/azure-mgmt-networkfunction,NA,NA,NA,1.0.0b1,2022/11/18,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/networkfunction/resource-manager,,0.068,-, -, -, -
loganalytics/azure-mgmt-loganalytics,https://pypi.org/pypi/azure-mgmt-loganalytics,2.0.0,2020/11/9,1.0.0,13.0.0b6,2022/12/12,7.0.0,track2_13.0.0b4,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/operationalinsights/resource-manager,,0.191,-, -, -, -
applicationinsights/azure-mgmt-applicationinsights,https://pypi.org/pypi/azure-mgmt-applicationinsights,0.3.0,2020/04/10,NA,4.0.0,2023/04/20,1.0.0,track2_1.0.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/applicationinsights/resource-manager,True,0.545,-, -, -, -
hdinsight/azure-mgmt-hdinsight,https://pypi.org/pypi/azure-mgmt-hdinsight,3.0.0,2021/06/7,1.0.0,9.1.0b1,2024/09/10,7.0.0,track2_9.0.0b3,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/hdinsight/resource-manager,,0.138,-, -, -, -
baremetalinfrastructure/azure-mgmt-baremetalinfrastructure,https://pypi.org/pypi/azure-mgmt-baremetalinfrastructure,NA,NA,NA,1.1.0b2,2023/10/23,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/baremetalinfrastructure/resource-manager,,0.063,-, -, -, -
trustedsigning/azure-mgmt-trustedsigning,https://pypi.org/pypi/azure-mgmt-trustedsigning,NA,NA,NA,1.0.0b1,2024/09/29,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/codesigning/resource-manager,,0.063,-, -, -, -
